Time,Monday,Tuesday,Wednesday,Thursday,Friday
0:00:00,0.000,0.000,0.000,0.000,0.000
0:15:00,0.000,0.000,0.000,0.000,0.000
0:30:00,0.000,0.000,0.000,0.000,0.000
0:45:00,0.000,0.000,0.000,0.000,0.002
1:00:00,0.000,0.000,0.000,0.000,0.002
1:15:00,0.000,0.000,0.000,0.000,0.002
1:30:00,0.000,0.000,0.000,0.000,0.002
1:45:00,0.000,0.000,0.000,0.000,0.002
2:00:00,0.000,0.000,0.000,0.000,0.002
2:15:00,0.000,0.000,0.000,0.000,0.002
2:30:00,0.000,0.000,0.000,0.000,0.002
2:45:00,0.000,0.000,0.000,0.000,0.002
3:00:00,0.000,0.000,0.000,0.000,0.002
3:15:00,0.000,0.000,0.000,0.000,0.002
3:30:00,0.000,0.000,0.000,0.000,0.002
3:45:00,0.000,0.000,0.000,0.000,0.002
4:00:00,0.000,0.000,0.000,0.000,0.002
4:15:00,0.000,0.000,0.000,0.000,0.002
4:30:00,0.000,0.000,0.000,0.000,0.002
4:45:00,0.000,0.000,0.000,0.000,0.002
5:00:00,0.000,0.000,0.000,0.000,0.002
5:15:00,0.000,0.000,0.000,0.000,0.002
5:30:00,0.000,0.000,0.000,0.000,0.002
5:45:00,0.000,0.000,0.000,0.000,0.002
6:00:00,0.002,0.000,0.008,0.006,0.008
6:15:00,0.016,0.001,0.011,0.012,0.013
6:30:00,0.014,0.009,0.007,0.027,0.018
6:45:00,0.020,0.014,0.013,0.029,0.016
7:00:00,0.050,0.038,0.034,0.054,0.034
7:15:00,0.073,0.065,0.059,0.066,0.050
7:30:00,0.092,0.095,0.094,0.099,0.093
7:45:00,0.119,0.138,0.137,0.140,0.124
8:00:00,0.171,0.228,0.191,0.215,0.189
8:15:00,0.259,0.287,0.277,0.293,0.228
8:30:00,0.291,0.366,0.363,0.304,0.300
8:45:00,0.364,0.376,0.405,0.351,0.356
9:00:00,0.410,0.389,0.457,0.394,0.403
9:15:00,0.427,0.409,0.469,0.423,0.403
9:30:00,0.431,0.410,0.498,0.448,0.423
9:45:00,0.483,0.413,0.510,0.477,0.428
10:00:00,0.498,0.487,0.495,0.459,0.436
10:15:00,0.504,0.475,0.480,0.490,0.454
10:30:00,0.504,0.515,0.497,0.496,0.432
10:45:00,0.363,0.459,0.442,0.451,0.384
11:00:00,0.213,0.249,0.297,0.298,0.210
11:15:00,0.250,0.232,0.263,0.286,0.202
11:30:00,0.353,0.325,0.336,0.365,0.311
11:45:00,0.391,0.381,0.375,0.385,0.354
12:00:00,0.393,0.437,0.395,0.414,0.393
12:15:00,0.441,0.451,0.429,0.447,0.408
12:30:00,0.481,0.459,0.464,0.450,0.395
12:45:00,0.498,0.476,0.496,0.476,0.406
13:00:00,0.483,0.490,0.537,0.476,0.432
13:15:00,0.443,0.444,0.462,0.428,0.391
13:30:00,0.458,0.448,0.452,0.434,0.360
13:45:00,0.475,0.488,0.481,0.475,0.388
14:00:00,0.444,0.484,0.550,0.486,0.413
14:15:00,0.430,0.476,0.533,0.498,0.413
14:30:00,0.436,0.472,0.473,0.485,0.427
14:45:00,0.443,0.463,0.437,0.445,0.425
15:00:00,0.485,0.463,0.418,0.440,0.425
15:15:00,0.506,0.466,0.438,0.420,0.397
15:30:00,0.433,0.412,0.379,0.390,0.384
15:45:00,0.419,0.337,0.360,0.325,0.329
16:00:00,0.322,0.257,0.235,0.235,0.242
16:15:00,0.266,0.186,0.165,0.182,0.203
16:30:00,0.231,0.163,0.120,0.155,0.134
16:45:00,0.179,0.127,0.084,0.129,0.101
17:00:00,0.127,0.112,0.054,0.107,0.079
17:15:00,0.085,0.083,0.042,0.097,0.053
17:30:00,0.080,0.069,0.031,0.082,0.040
17:45:00,0.066,0.054,0.018,0.067,0.032
18:00:00,0.052,0.035,0.020,0.052,0.025
18:15:00,0.047,0.031,0.011,0.042,0.021
18:30:00,0.033,0.025,0.007,0.034,0.021
18:45:00,0.033,0.023,0.005,0.029,0.014
19:00:00,0.028,0.022,0.007,0.031,0.016
19:15:00,0.024,0.020,0.003,0.014,0.016
19:30:00,0.021,0.014,0.000,0.014,0.014
19:45:00,0.024,0.002,0.000,0.009,0.011
20:00:00,0.021,0.002,0.000,0.011,0.009
20:15:00,0.019,0.002,0.000,0.011,0.007
20:30:00,0.019,0.000,0.000,0.013,0.009
20:45:00,0.016,0.000,0.000,0.013,0.009
21:00:00,0.016,0.000,0.000,0.013,0.007
21:15:00,0.012,0.000,0.000,0.013,0.007
21:30:00,0.012,0.000,0.000,0.013,0.007
21:45:00,0.009,0.000,0.000,0.013,0.007
22:00:00,0.009,0.000,0.000,0.013,0.007
22:15:00,0.009,0.000,0.000,0.013,0.007
22:30:00,0.009,0.000,0.000,0.013,0.007
22:45:00,0.009,0.000,0.000,0.013,0.007
23:00:00,0.009,0.000,0.000,0.013,0.007
23:15:00,0.007,0.000,0.000,0.013,0.007
23:30:00,0.002,0.000,0.000,0.010,0.002
23:45:00,0.000,0.000,0.000,0.008,0.000
